day_of_week,Free only:download_only,PMOF:consumable,PMOF:download_only,PMOF:subscription
Friday,1.3949986599161757,1.7126457204648444,1.1360467595897972,1.1074175557398585
Monday,1.3953672134789497,1.7120734304615144,1.138296385541723,1.1093009318708427
Saturday,1.3934426981011787,1.7654418975332669,1.1335116027540828,1.1024782645051534
Sunday,1.3955666822526984,1.7640391013368446,1.135164620480391,1.107784079421558
Thursday,1.396633841723684,1.7131756077329472,1.1330409065894107,1.101998261243125
Tuesday,1.3960741583216605,1.712613205914575,1.1345943603828783,1.1006278416128803
Wednesday,1.3982609593641953,1.7106316201334044,1.135494665277873,1.1027607901230188
