day_of_week,Free only:download_only,PMOF:consumable,PMOF:download_only,PMOF:subscription
Friday,0.0,9.25098333643116,2.5723287100541805,6.32767845593774
Monday,0.0,9.236205966743682,2.528381680539924,6.384193426083412
Saturday,0.0,9.222466510238613,2.5580849411180413,6.366526136538645
Sunday,0.0,9.192631999420614,2.5537288255334167,6.374049976826855
Thursday,0.0,9.207703202914274,2.5761327966341536,6.2742807878445905
Tuesday,0.0,9.24408031672029,2.553171494263125,6.3858155694508145
Wednesday,0.0,9.245307491185748,2.602827848070685,6.351328645271941
